;model;time;distance;cum_demand_mean;distance_mean;num_nodes_mean;cum_demand_std;distance_std;num_nodes_std;cum_demand_min;distance_min;num_nodes_min;cum_demand_max;distance_max;num_nodes_max;data_id;size
0;RL;0.160965;14.529257416725159;45.545;1.321;9.091;5.803;0.326;1.64;29.0;0.75;5.0;50.0;1.898;11.0;0;100
1;OR-Tools;0.648113;15.762056;45.545;1.433;10.091;5.888;0.519;1.814;30.0;0.631;7.0;50.0;2.466;13.0;0;100
2;RL;0.18048;15.830186188220978;45.182;1.439;9.091;10.088;0.476;3.3;16.0;0.303;2.0;50.0;2.085;14.0;1;100
3;OR-Tools;0.442898;16.9886789;49.7;1.699;11.0;0.675;0.447;1.563;48.0;1.186;9.0;50.0;2.473;14.0;1;100
4;RL;0.187001;13.47650820016861;44.909;1.225;9.091;6.818;0.33;2.119;27.0;0.732;5.0;50.0;1.955;12.0;2;100
5;OR-Tools;0.706861;13.7754306;49.4;1.378;11.0;1.35;0.484;1.247;46.0;0.617;10.0;50.0;2.305;13.0;2;100
6;RL;0.150995;14.802893579006195;45.545;1.346;9.091;9.575;0.304;2.737;17.0;0.993;3.0;50.0;1.975;14.0;3;100
7;OR-Tools;0.545003;15.260301;45.545;1.387;10.091;8.881;0.434;2.844;22.0;0.662;4.0;50.0;1.978;15.0;3;100
8;RL;0.164996;14.463377639651299;44.636;1.315;9.091;11.378;0.577;3.27;11.0;0.163;2.0;50.0;2.356;14.0;4;100
9;OR-Tools;1.044621;14.704744799999999;49.1;1.47;11.0;1.197;0.504;1.633;47.0;0.601;9.0;50.0;2.278;14.0;4;100
10;RL;0.145964;15.58618849515915;46.727;1.417;9.091;4.756;0.462;1.758;35.0;0.795;6.0;50.0;2.254;12.0;5;100
11;OR-Tools;0.676084;15.7858408;46.727;1.435;10.091;4.692;0.45;1.221;34.0;0.831;8.0;50.0;2.234;12.0;5;100
12;RL;0.147994;18.707692325115204;45.455;1.701;9.091;8.017;0.635;2.982;28.0;0.601;4.0;50.0;2.409;13.0;6;100
13;OR-Tools;0.573141;19.2361639;50.0;1.924;11.0;0.0;0.702;1.944;50.0;0.95;7.0;50.0;2.919;14.0;6;100
14;RL;0.147967;14.642366334795952;44.091;1.331;9.091;12.112;0.481;2.982;8.0;0.182;1.0;50.0;1.919;12.0;7;100
15;OR-Tools;0.706626;16.4526227;48.5;1.645;11.0;2.915;0.495;2.211;41.0;0.588;7.0;50.0;2.359;14.0;7;100
16;RL;0.142004;20.166743338108063;47.273;1.833;9.091;6.246;0.586;2.386;29.0;0.592;4.0;50.0;2.777;12.0;8;100
17;OR-Tools;0.725113;20.386278400000002;47.273;1.853;10.091;8.719;0.682;2.625;21.0;0.411;4.0;50.0;3.145;14.0;8;100
18;RL;0.148997;19.418692886829376;47.182;1.765;9.091;5.095;0.465;2.166;33.0;0.781;5.0;50.0;2.533;13.0;9;100
19;OR-Tools;0.743039;20.1963285;47.182;1.836;10.091;5.913;0.521;2.587;33.0;1.006;5.0;50.0;2.562;15.0;9;100
20;RL;0.144997;17.06840467453003;46.182;1.552;9.091;5.947;0.472;1.814;31.0;0.837;6.0;50.0;2.247;13.0;10;100
21;OR-Tools;0.777229;17.3506851;46.182;1.577;10.091;7.291;0.486;2.427;27.0;0.579;6.0;50.0;2.334;15.0;10;100
22;RL;0.161963;16.352004945278168;47.273;1.487;9.091;4.982;0.447;1.921;33.0;0.732;5.0;50.0;2.128;13.0;11;100
23;OR-Tools;0.634916;17.496797099999995;47.273;1.591;10.091;4.671;0.543;1.044;38.0;0.783;8.0;50.0;2.339;12.0;11;100
24;RL;0.146182;18.23650711774826;42.455;1.658;9.091;14.936;0.644;3.534;2.0;0.394;1.0;50.0;2.446;14.0;12;100
