;model;time;distance;cum_demand_mean;distance_mean;num_nodes_mean;cum_demand_std;distance_std;num_nodes_std;cum_demand_min;distance_min;num_nodes_min;cum_demand_max;distance_max;num_nodes_max;data_id;size
0;RL;0.121963;12.648975014686584;47.625;1.581;8.75;4.373;0.363;1.488;37.0;1.106;7.0;50.0;2.193;11.0;0;70
1;OR-Tools;0.361038;12.638465499999999;47.625;1.58;9.75;3.159;0.563;1.035;40.0;0.967;8.0;50.0;2.635;11.0;0;70
2;RL;0.116998;10.68414980173111;43.875;1.336;8.75;11.581;0.316;2.866;16.0;0.781;2.0;50.0;1.795;11.0;1;70
3;OR-Tools;0.383035;10.9260305;43.875;1.366;9.75;8.34;0.523;2.315;25.0;0.723;6.0;50.0;2.217;13.0;1;70
4;RL;0.110039;11.181314766407013;42.25;1.398;8.75;12.926;0.497;2.915;11.0;0.403;2.0;50.0;1.888;12.0;2;70
5;OR-Tools;0.413099;10.818092599999998;48.286;1.545;11.0;2.36;0.382;1.414;44.0;1.075;9.0;50.0;2.032;13.0;2;70
6;RL;0.10596;10.706965923309326;46.286;1.53;10.0;1.89;0.716;2.236;44.0;0.529;7.0;49.0;2.291;12.0;3;70
7;OR-Tools;0.352039;10.7668069;46.286;1.538;11.0;6.676;0.872;3.416;32.0;0.422;6.0;50.0;2.624;16.0;3;70
8;RL;0.096961;13.570686936378479;49.429;1.939;10.0;0.787;0.455;1.414;48.0;1.456;8.0;50.0;2.54;11.0;4;70
9;OR-Tools;0.283375;14.849523800000002;49.429;2.121;11.0;1.134;0.756;1.528;47.0;1.412;9.0;50.0;3.227;14.0;4;70
10;RL;0.095015;12.688522219657898;44.0;1.586;8.75;7.559;0.495;2.712;28.0;0.974;5.0;50.0;2.291;12.0;5;70
11;OR-Tools;0.35402;12.1791399;44.0;1.522;9.75;6.969;0.492;1.753;28.0;0.771;7.0;49.0;2.104;12.0;5;70
12;RL;0.103965;14.334057435393333;42.667;1.593;7.778;13.181;0.738;2.635;12.0;0.147;2.0;50.0;2.337;11.0;6;70
13;OR-Tools;0.434002;14.8203176;48.0;1.853;9.75;3.295;0.445;1.753;40.0;1.204;8.0;50.0;2.365;13.0;6;70
14;RL;0.095983;14.947078227996826;44.75;1.868;8.75;11.793;0.695;2.866;16.0;0.548;3.0;50.0;2.713;11.0;7;70
15;OR-Tools;0.495274;15.297800800000003;44.75;1.912;9.75;13.253;0.746;2.915;12.0;0.355;3.0;50.0;2.869;12.0;7;70
16;RL;0.097999;10.390684217214584;39.0;1.155;7.778;14.405;0.547;3.032;5.0;0.222;1.0;50.0;1.871;11.0;8;70
17;OR-Tools;0.483045;10.2919737;43.875;1.286;9.75;8.271;0.46;3.059;25.0;0.543;4.0;50.0;1.771;12.0;8;70
18;RL;0.104998;11.963186889886856;42.5;1.495;8.75;12.012;0.558;3.105;14.0;0.25;2.0;50.0;2.037;12.0;9;70
19;OR-Tools;0.204039;12.994963199999997;48.571;1.856;11.0;2.699;0.698;1.633;43.0;0.857;9.0;50.0;2.965;14.0;9;70
20;RL;0.103997;12.143522918224335;43.125;1.518;8.75;12.029;0.523;2.816;18.0;0.593;4.0;50.0;2.384;12.0;10;70
21;OR-Tools;0.274037;12.2468528;49.286;1.75;11.0;1.113;0.645;2.082;47.0;0.951;8.0;50.0;2.737;15.0;10;70
22;RL;0.099961;14.60457594692707;41.222;1.623;7.778;16.969;0.775;3.42;2.0;0.107;1.0;50.0;2.441;11.0;11;70
23;OR-Tools;0.306152;14.828855200000001;46.375;1.854;9.75;8.297;0.46;1.832;26.0;1.182;6.0;50.0;2.409;12.0;11;70
24;RL;0.094992;11.459765553474426;47.125;1.432;8.75;3.227;0.206;1.488;42.0;1.049;6.0;50.0;1.703;11.0;12;70
25;OR-Tools;0.485032;11.43849;47.125;1.43;9.75;4.941;0.4;1.581;36.0;0.904;7.0;50.0;2.106;11.0;12;70
26;RL;0.10408;13.43946647644043;41.889;1.493;7.778;14.547;0.757;2.949;6.0;0.298;1.0;50.0;2.635;11.0;13;70
27;OR-Tools;0.30203;13.7229825;47.125;1.715;9.75;5.384;0.84;2.493;34.0;0.529;6.0;50.0;3.049;14.0;13;70
28;RL;0.102;12.308296859264374;42.375;1.539;8.75;11.526;0.456;2.605;16.0;0.988;3.0;50.0;2.149;11.0;14;70
29;OR-Tools;0.413798;12.493640599999999;48.429;1.785;11.0;1.718;0.44;1.414;46.0;1.393;9.0;50.0;2.426;13.0;14;70
30;RL;0.102965;12.228990137577057;43.375;1.529;8.75;10.954;0.552;2.915;17.0;0.492;2.0;50.0;2.219;12.0;15;70
31;OR-Tools;0.503184;13.077468099999999;49.571;1.868;11.0;0.787;0.463;1.291;48.0;1.167;9.0;50.0;2.408;13.0;15;70
32;RL;0.128963;10.838736891746521;45.25;1.355;8.75;5.12;0.511;2.252;37.0;0.541;6.0;50.0;1.952;12.0;16;70
33;OR-Tools;0.370005;11.374345;45.25;1.422;9.75;5.751;0.627;2.659;38.0;0.541;6.0;50.0;2.389;14.0;16;70
34;RL;0.135987;13.486776649951935;45.25;1.686;8.75;7.324;0.539;2.121;30.0;0.989;4.0;50.0;2.418;11.0;17;70
35;OR-Tools;0.386084;13.484850100000001;45.25;1.686;9.75;7.869;0.495;2.315;29.0;1.136;5.0;50.0;2.502;12.0;17;70
36;RL;0.111962;11.647774934768677;44.625;1.456;8.75;8.21;0.349;2.712;25.0;0.689;3.0;50.0;1.833;11.0;18;70
37;OR-Tools;0.334002;11.0521659;44.625;1.382;9.75;4.406;0.264;2.121;36.0;1.066;6.0;49.0;1.787;12.0;18;70
38;RL;0.101963;13.158389508724213;42.375;1.645;8.75;11.351;0.688;3.412;21.0;0.838;4.0;50.0;2.877;14.0;19;70
39;OR-Tools;0.371016;13.028288599999998;48.429;1.861;11.0;2.299;0.681;1.414;44.0;1.247;9.0;50.0;3.083;13.0;19;70
40;RL;0.095999;10.524198412895203;45.143;1.503;10.0;7.244;0.227;2.708;29.0;1.21;5.0;50.0;1.939;14.0;20;70
41;OR-Tools;0.358254;10.0035639;45.143;1.429;11.0;5.367;0.303;2.16;34.0;0.951;8.0;50.0;1.777;14.0;20;70
42;RL;0.104998;14.295181542634964;43.625;1.787;8.75;15.24;0.732;3.454;6.0;0.29;1.0;50.0;2.557;12.0;21;70
43;OR-Tools;0.335035;14.6186051;43.625;1.827;9.75;8.105;0.708;3.196;27.0;0.581;5.0;50.0;2.8;14.0;21;70
44;RL;0.115965;11.628883987665176;44.125;1.454;8.75;14.227;0.634;3.284;9.0;0.205;1.0;50.0;2.313;11.0;22;70
45;OR-Tools;0.353004;12.2050533;44.125;1.526;9.75;6.468;0.488;2.55;31.0;0.879;7.0;50.0;2.219;15.0;22;70
46;RL;0.09996;10.459464967250824;43.75;1.307;8.75;6.985;0.292;1.581;30.0;0.974;6.0;50.0;1.866;11.0;23;70
47;OR-Tools;0.349325;10.2811155;43.75;1.285;9.75;7.459;0.413;2.053;30.0;0.731;7.0;50.0;1.892;12.0;23;70
48;RL;0.092002;11.996965765953064;41.5;1.5;8.75;11.576;0.6;3.284;16.0;0.674;4.0;50.0;2.189;13.0;24;70
49;OR-Tools;0.318646;12.2708265;47.429;1.753;11.0;2.82;0.515;2.082;42.0;1.129;7.0;50.0;2.512;13.0;24;70
50;RL;0.111993;13.457389950752258;43.857;1.922;10.0;15.389;0.877;3.916;9.0;0.331;3.0;50.0;3.228;15.0;25;70
51;OR-Tools;0.323038;14.383191799999997;43.857;2.055;11.0;16.252;0.948;3.266;7.0;0.289;4.0;50.0;3.217;14.0;25;70
52;RL;0.119998;14.723717629909515;39.778;1.636;7.778;18.906;0.898;4.295;5.0;0.183;1.0;50.0;2.666;12.0;26;70
53;OR-Tools;0.45005;15.5367864;44.75;1.942;9.75;8.565;0.627;2.493;29.0;0.889;5.0;50.0;2.776;12.0;26;70
54;RL;0.108965;11.273629426956177;44.375;1.409;8.75;7.909;0.186;2.053;26.0;1.201;5.0;50.0;1.758;12.0;27;70
55;OR-Tools;0.309087;11.0834446;44.375;1.385;9.75;6.232;0.35;1.669;33.0;1.001;7.0;50.0;2.083;12.0;27;70
56;RL;0.10901;11.154704332351685;43.5;1.394;8.75;7.597;0.539;2.765;27.0;0.781;4.0;50.0;1.998;13.0;28;70
57;OR-Tools;0.344003;11.1252949;49.714;1.589;11.0;0.488;0.646;1.528;49.0;0.877;9.0;50.0;2.477;13.0;28;70
58;RL;0.120964;11.284359812736511;43.625;1.411;8.75;9.41;0.406;2.435;25.0;0.777;5.0;50.0;1.975;13.0;29;70
59;OR-Tools;0.465004;12.7114737;49.857;1.816;11.0;0.378;0.516;1.528;49.0;1.092;9.0;50.0;2.377;13.0;29;70
60;RL;0.103999;12.126156330108643;41.125;1.516;8.75;11.37;0.702;3.012;20.0;0.332;3.0;50.0;2.301;12.0;30;70
61;OR-Tools;0.38902;12.1232524;47.0;1.732;11.0;2.582;0.568;1.414;43.0;0.98;8.0;50.0;2.353;12.0;30;70
62;RL;0.113962;15.310004353523254;41.222;1.701;7.778;14.873;0.703;3.232;10.0;0.569;2.0;50.0;2.632;12.0;31;70
63;OR-Tools;0.29104;14.4839799;46.375;1.81;9.75;6.457;0.617;1.982;31.0;0.828;6.0;50.0;2.77;12.0;31;70
64;RL;0.109031;10.900928378105164;46.5;1.363;8.75;3.505;0.38;1.282;40.0;0.561;7.0;50.0;1.788;11.0;32;70
65;OR-Tools;0.317249;11.507635;46.5;1.438;9.75;6.37;0.531;2.435;31.0;0.346;5.0;50.0;1.884;13.0;32;70
66;RL;0.109964;14.324068546295166;48.375;1.791;8.75;1.188;0.525;1.282;47.0;1.031;7.0;50.0;2.461;10.0;33;70
67;OR-Tools;0.224961;15.1137955;48.375;1.889;9.75;4.207;0.694;1.982;38.0;0.954;6.0;50.0;2.977;12.0;33;70
68;RL;0.110959;14.972454071044922;46.375;1.872;8.75;6.865;0.453;1.669;30.0;1.137;7.0;50.0;2.542;12.0;34;70
69;OR-Tools;0.474036;14.718619700000001;46.375;1.84;9.75;4.689;0.494;1.488;36.0;1.246;7.0;50.0;2.508;12.0;34;70
70;RL;0.104964;11.17745989561081;40.125;1.397;8.75;12.688;0.462;3.536;11.0;0.675;2.0;50.0;2.143;13.0;35;70
71;OR-Tools;0.310038;11.796863000000002;45.857;1.685;11.0;5.757;0.637;1.826;37.0;0.913;9.0;50.0;2.794;14.0;35;70
72;RL;0.11;12.010617554187775;40.0;1.501;8.75;7.964;0.566;2.605;29.0;0.518;5.0;49.0;2.203;12.0;36;70
73;OR-Tools;0.271102;11.878834900000001;45.714;1.697;11.0;3.352;0.598;1.732;41.0;1.043;9.0;49.0;2.838;13.0;36;70
74;RL;0.11698;12.904644072055817;45.25;1.613;8.75;7.942;0.47;2.493;26.0;0.997;3.0;50.0;2.314;11.0;37;70
75;OR-Tools;0.514001;12.6829751;45.25;1.585;9.75;8.12;0.622;2.605;26.0;0.401;4.0;50.0;2.272;12.0;37;70
76;RL;0.115;12.536418914794922;46.25;1.567;8.75;5.285;0.385;1.165;37.0;0.995;7.0;50.0;2.111;10.0;38;70
77;OR-Tools;0.319971;12.7525087;46.25;1.594;9.75;6.777;0.452;1.832;31.0;0.59;6.0;50.0;2.009;12.0;38;70
78;RL;0.116998;13.237916588783264;45.571;1.891;10.0;7.591;0.471;1.826;30.0;1.371;7.0;50.0;2.594;13.0;39;70
79;OR-Tools;0.316005;12.6197941;45.571;1.803;11.0;8.463;0.662;2.944;27.0;0.749;6.0;50.0;2.564;15.0;39;70
80;RL;0.1;11.36508572101593;48.25;1.421;8.75;2.188;0.198;1.581;44.0;1.129;7.0;50.0;1.602;11.0;40;70
81;OR-Tools;0.398562;11.4623199;48.25;1.433;9.75;2.053;0.477;1.282;44.0;0.765;8.0;50.0;2.142;11.0;40;70
82;RL;0.117038;13.467007607221603;41.444;1.496;7.778;12.798;0.771;3.193;16.0;0.233;3.0;50.0;2.33;13.0;41;70
83;OR-Tools;0.31105;14.1191718;46.625;1.765;9.75;7.963;0.693;2.866;27.0;0.939;4.0;50.0;2.883;14.0;41;70
84;RL;0.110998;12.215699553489685;41.222;1.357;7.778;13.782;0.651;2.991;6.0;0.078;1.0;50.0;2.204;10.0;42;70
85;OR-Tools;0.343216;12.005733000000001;46.375;1.501;9.75;6.022;0.501;1.909;32.0;0.952;7.0;50.0;2.034;13.0;42;70
86;RL;0.106998;11.33239495754242;47.857;1.619;10.0;3.237;0.426;3.0;41.0;1.034;6.0;50.0;2.429;14.0;43;70
87;OR-Tools;0.311428;11.5370668;47.857;1.648;11.0;3.388;0.408;2.449;41.0;0.994;7.0;50.0;2.221;15.0;43;70
88;RL;0.097966;11.149459719657898;43.0;1.593;10.0;10.52;0.591;3.559;22.0;0.679;4.0;50.0;2.235;13.0;44;70
89;OR-Tools;0.474999;10.9659923;43.0;1.567;11.0;6.633;0.63;3.873;29.0;0.616;5.0;48.0;2.402;18.0;44;70
90;RL;0.105001;13.823147118091583;44.75;1.728;8.75;8.413;0.625;2.915;28.0;0.735;4.0;50.0;2.524;12.0;45;70
91;OR-Tools;0.316037;13.9492323;44.75;1.744;9.75;8.311;0.634;2.375;26.0;0.785;6.0;50.0;2.643;12.0;45;70
92;RL;0.098966;13.046029567718506;48.286;1.864;10.0;2.87;0.5;1.915;42.0;1.003;6.0;50.0;2.354;12.0;46;70
